Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
03/01/2011,10.09149742,36.961689,53.03453064,69.79350281,15.00728226,59.75482941,36.59498215,33.3026619,146.6975098,27.61177826,96.85069275,15.00498009,45.99139786,32.37520599,23.35075569,56.30827713,64.74077606,23.91063309,22.10148811,18.94272614,11.18262482,46.38790512,38.450634,42.96463394,31.46875572,16.30736542,22.04957008,29.88495636,42.33092499,48.34691238
04/01/2011,10.14416218,37.4301033,53.46581268,69.46733856,15.02925396,59.53382492,36.34391785,34.33291626,146.7229462,27.11130714,96.95580292,15.22087383,46.37942123,32.84376907,22.86741638,54.62492752,64.65125275,24.11629677,22.18838882,18.47625732,11.37869835,46.51682281,38.51391602,42.77219772,31.75691605,16.32586098,22.49140549,30.13576317,42.49385452,48.57390594
05/01/2011,10.22714233,38.51614761,53.8971405,70.06777191,15.21236134,59.42983627,36.28113937,35.18706131,147.5028534,27.02529526,96.56832886,15.06974792,46.35014343,33.24539566,22.73136711,54.88220978,64.65125275,24.25561714,22.11728477,18.59727097,11.45459843,46.40940094,38.56745911,42.51819611,31.85861969,16.67041397,22.80008698,30.55378342,42.21453094,48.44419098
06/01/2011,10.21887493,38.25105286,54.95145035,69.34132385,15.34420013,58.94240952,36.97161484,34.91408157,145.9854736,26.91581345,97.62561035,14.94739914,46.27693176,33.08176422,22.56666756,54.55140686,64.25592041,24.58734512,22.76501083,18.4300518,11.49887276,46.330616,38.52851868,41.86394501,32.51969528,16.92016411,22.21631241,30.64500427,41.86539459,48.75549698
07/01/2011,10.29205608,37.93463135,55.41468811,69.48215485,15.35883999,59.26737213,36.54268265,34.73796844,144.6969147,26.88453865,97.14622498,14.86823845,45.83034134,32.45702362,22.52728653,54.66903687,64.32302856,24.77973938,22.59123421,18.3794384,11.60007477,46.19454193,38.49444199,41.04808044,32.5874939,16.87160873,22.03235626,30.46258545,41.95849228,49.02136993
10/01/2011,10.48588085,38.02016449,55.18305206,69.23011017,15.22701359,58.76039886,37.13899994,34.78199768,143.9085236,26.89235878,96.95580292,14.88982773,45.50820541,32.27851486,22.57740974,54.07357788,65.00930786,24.68022728,22.29106903,18.52026367,11.54947567,46.0942688,38.19264603,41.4483223,32.5874939,16.60567665,22.02622986,31.12382507,41.68695068,48.72305679
11/01/2011,10.46108055,38.51614761,55.07923889,69.64525604,15.29292488,59.68331528,37.12854004,34.69394302,143.5694122,27.2598896,96.71936798,15.14891148,45.58875275,32.42726135,22.44493866,54.32352066,65.44942474,24.51436615,22.20417404,18.4872551,11.52417374,45.86509323,38.41655731,41.48679733,33.12143326,16.62186241,21.6828289,31.03261185,42.12142944,49.08621979
12/01/2011,10.54620266,38.48193741,56.02968979,69.30423737,15.46871185,60.08626556,37.50515366,34.49141312,145.5276642,27.23642921,97.91457367,15.32882309,45.75712204,33.25283813,22.57024956,54.10300446,66.13569641,24.64705658,22.55174065,18.42345238,11.61905193,46.53115463,38.664814,42.01789856,32.9349823,16.79066849,21.7502861,31.31382751,42.55591583,49.66341019
13/01/2011,10.58478737,38.53325272,55.77408981,69.78609467,15.43941021,59.91080856,37.29593277,34.57066345,145.4429016,27.58049774,97.73069763,15.32162189,46.05728531,33.05945587,22.69914436,53.41936111,65.67321014,23.01497841,22.26737213,18.16600037,11.52417374,46.8964119,38.6988945,42.07947922,33.56215286,16.45073891,21.95264435,31.64826012,42.50936127,49.74771118
14/01/2011,10.67051888,39.55087662,55.96578979,69.68972778,15.53462696,60.33324051,37.58885956,34.59708405,148.3505859,28.06533813,98.5056076,15.17049694,45.79373932,33.40158081,22.60247421,54.44113541,65.71794128,22.70978928,22.35425568,18.4982605,11.60007477,46.93221283,38.49444199,42.04868317,34.55376053,16.44610977,21.74414825,31.49623871,42.52487183,50.48054504
