Date,AAPL,MSFT,AMZN,GOOGL
12/05/2011,10.61203766,20.11855888,206.0700073,267.7927856
13/05/2011,10.42617035,19.8881321,202.5599976,265.0400391
16/05/2011,10.20570564,19.52263832,192.5099945,259.4694824
17/05/2011,10.2926693,19.61061287,194.8099976,265.4954834
18/05/2011,10.40687943,19.74657249,197.0899963,265.170166
19/05/2011,10.42708969,19.77056694,198.8000031,265.8908997
20/05/2011,10.2644968,19.58661652,198.6499939,262.2772827
23/05/2011,10.23938942,19.33068848,196.2200012,259.4544678
24/05/2011,10.1717186,19.31468964,193.2700043,259.3893738
25/05/2011,10.31226635,19.3466835,192.2599945,260.0950928
26/05/2011,10.25775909,19.73057747,195,259.3243103
27/05/2011,10.33155632,19.80255127,194.1300049,260.7107239
31/05/2011,10.65062046,20.00250053,196.6900024,264.7747803
01/06/2011,10.57958031,19.53862572,192.3999939,263.0630493
02/06/2011,10.59764671,19.37067604,193.6499939,264.294281
03/06/2011,10.51619625,19.12274551,188.3200073,261.8017883
06/06/2011,10.35084534,19.20271873,185.6900024,260.790802
07/06/2011,10.1671257,19.24271202,187.5500031,259.7747803
08/06/2011,10.17324924,19.14673615,188.0500031,259.8448486
09/06/2011,10.15028667,19.16273117,189.6799927,258.6236267
10/06/2011,9.979115486,18.96279144,186.5299988,255.0100098
13/06/2011,10.00055027,19.22671318,186.2899933,252.6176147
14/06/2011,10.17936993,19.37067604,189.9600067,254.4394379
15/06/2011,10.00514603,18.98678207,185.9799957,251.7267303
16/06/2011,9.956459999,19.19471741,183.6499939,250.4354401
17/06/2011,9.806418419,19.402668,186.3699951,242.7527466
20/06/2011,9.655158997,19.57062149,187.7200012,242.5325317
21/06/2011,9.960745811,19.80255127,194.2299957,246.7467499
22/06/2011,9.878377914,19.71458244,191.6300049,243.7487488
23/06/2011,10.14232349,19.69858932,194.1600037,240.3503571
24/06/2011,9.992897987,19.43465996,192.5500031,237.6776733
27/06/2011,10.1671257,20.15446091,201.25,241.6416473
28/06/2011,10.26572323,20.63432503,202.3500061,247.0720673
29/06/2011,10.22836399,20.49036598,204.1799927,249.0340271
30/06/2011,10.2782774,20.79428482,204.4900055,253.4434357
01/07/2011,10.51068401,20.81027985,209.4900055,260.7757874
05/07/2011,10.69961071,20.81827736,213.1900024,266.4864807
06/07/2011,10.77095318,21.05820847,214.1900024,267.947937
07/07/2011,10.93753147,21.4101181,216.7400055,273.5735779
08/07/2011,11.01438522,21.53007889,218.2799988,266.261261
11/07/2011,10.8395443,21.2981472,212.5500031,263.9039001
12/07/2011,10.83189106,21.22616768,211.2299957,267.2722778
13/07/2011,10.96263695,21.2981472,213.5,269.3994141
14/07/2011,10.95498466,21.17018318,210.3800049,264.7347412
15/07/2011,11.17391682,21.4181118,212.8699951,299.1091003
